title,authors,year,journal,doi,pmid,arxiv_id,pdf_url,source_url,citations,abstract,keywords,source,article_type,publisher,language,can_download
Quantum computational path summation for relativistic quantum mechanics and a time dilation relation for a Dirac Hamiltonian generator on a qubit array,Jeffrey Yepez,2015,,,,1512.02550v3,https://arxiv.org/pdf/1512.02550v3,https://arxiv.org/abs/1512.02550v3,0,"Dirac particle dynamics is encoded as a unitary path summation rule and implemented on a qubit array, where the qubit array represents both spacetime and the fermions contained therein. The unitary path summation rule gives a quantum algorithm to model a many-body system of Dirac particles in a gauge field with Lorentz invariance down to the grid scale (Planck scale)--the lattice-based model neither suffers the Fermi-sign problem nor breaks Lorentz invariance. Yet, for the Dirac Hamiltonian to generate the unitary evolution of the 4-spinor field at the Planck scale, there is time dilation between the shortest observable time near a single space point and that time measured at long-wavelength scales. We find gravitational time dilation where the model space around each point (with an even number of qubits) is curved like the space around a Schwarzschild black hole.",quant-ph,arXiv,preprint,,,True
Effect of Internal Viscosity on Brownian Dynamics of DNA Molecules in Shear Flow,Jack Yang; Roderick V. N. Melnik,2007,,,,0703003v1,https://arxiv.org/pdf/0703003v1,https://arxiv.org/abs/0703003v1,0,The results of Brownian dynamics simulations of a single DNA molecule in shear flow are presented taking into account the effect of internal viscosity. The dissipative mechanism of internal viscosity is proved necessary in the research of DNA dynamics. A stochastic model is derived on the basis of the balance equation for forces acting on the chain. The Euler method is applied to the solution of the model. The extensions of DNA molecules for different Weissenberg numbers are analyzed. Comparison with the experimental results available in the literature is carried out to estimate the contribution of the effect of internal viscosity.,q-bio.BM,arXiv,preprint,,,True
Simultaneous summation and recognition effects for a dual-emitter light-induced neuromorphic device,Yongchao Yang; Bingcheng Zhu; Jialei Yuan; Guixia Zhu; Xumin Gao; Yuanhang Li; Zheng Shi; Zhiyu Zhang; Yuhuai Liu; Yongjin Wang,2017,,,,1705.01096v1,https://arxiv.org/pdf/1705.01096v1,https://arxiv.org/abs/1705.01096v1,0,"We propose and fabricate a dual-emitter light-induced neuromorphic device composed of two light-induced devices with a common collector and base. Two InGaN multiple quantum well diodes (MQW-diodes) are used as the emitters to generate light, and one InGaN MQW-diode is used as the common collector to absorb the emitted light. When the presynaptic voltages are synchronously applied to the two emitters, the collector demonstrates an adding together of the excitatory post synaptic voltage (EPSV). The width and period of the two input signals constitute the code to generate spatial summation and recognition effects at the same time. Experimental results confirm that temporal summation caused by the repetitive-pulse facilitation could significantly strengthen the spatial summation effect due to the adding together behavior when the repetitive stimulations are applied to the two emitters in rapid succession. Particularly, the resonant summation effect occurs at the co-summation region when the two repetitive-pulse signals have a resonant period, which offers a more sophisticated spatiotemporal EPSV summation function for the dual-emitter neuromorphic device.",physics.app-ph,arXiv,preprint,,,True
